vehicle_name,fleet_name,brand,model,category,fuel_type_clean,days_active,distance_traveled_km,liters_consumed,engine_time_sec,travel_time_sec,idle_time_sec,total_co2_kg,total_fuel_cost_eur,km_per_liter,idle_ratio
FK793NF,IDRAULICI,,,Default,default,7,161.609375,12.1,20175.0,18436.0,1739.0,30.25,18.15,13.356146694214877,0.08619578686493184
EX202TZ,FABIO FABRETTO,,,Default,default,8,160.671875,8.6,20606.0,14733.0,5873.0,21.5,12.899999999999999,18.6827761627907,0.2850140735708046
GB637NY,MENSE E RISTORAZIONE,,,Default,default,5,156.86328125,4.6,29492.0,21907.0,7585.0,11.5,6.9,34.10071331521739,0.2571883900718839
GT610SJ,MENSE E RISTORAZIONE,,,Default,default,4,155.2041015625,5.1,27391.0,25703.0,1843.0,12.75,7.65,30.432176776960787,0.06728487459384469
DT131HJ,MENSE E RISTORAZIONE,,,Default,default,7,151.09375,12.9,17534.0,14346.0,3188.0,32.25,19.35,11.712693798449612,0.18181818181818182
FM017GH,OFFICINA MOBILE ,,,Default,default,8,149.96875,8.8,70302.0,17257.0,53045.0,22.0,13.2,17.041903409090907,0.7545304543256237
GC097JT,MENSE E RISTORAZIONE,,,Default,default,7,148.9296875,9.7,121533.0,15897.0,105636.0,24.25,14.549999999999999,15.353576030927837,0.8691960208338476
GF537BY,UFFICIO MEZZI,,,Default,default,7,148.51953125,9.3,201847.0,92801.0,115052.0,23.25,13.95,15.969842069892472,0.569996086144456
FJ089MK,UFFICIO MEZZI,,,Default,default,7,148.484375,10.200000000000001,19806.0,17741.0,2183.0,25.5,15.3,14.557291666666664,0.11021912551751994
ZB395AF,PRATO EX TRACCIA,,,Default,default,7,144.90625,59.400000000000006,71018.0,19151.0,51867.0,148.5,89.10000000000001,2.439499158249158,0.7303359711622406
GT683YA,MENSE E RISTORAZIONE,,,Default,default,7,140.9130859375,12.6,20671.0,15715.0,5038.0,31.5,18.9,11.183578249007937,0.24372309031977166
FF541ED,TRASLOCHI ,,,Default,default,7,140.82421875,7.3999999999999995,12801.0,14019.0,173.0,18.5,11.099999999999998,19.03029983108108,0.013514569174283259
GF653AW,CARPI,,,Default,default,7,140.30859375,12.8,56148.0,22187.0,35373.0,32.0,19.200000000000003,10.96160888671875,0.6299957255823894
GD177LZ,SCARRABILI,,,Default,default,8,139.671875,80.0,39110.0,12380.0,26730.0,200.0,120.0,1.7458984375,0.6834569163896702
GT977XL,MENSE E RISTORAZIONE,,,Default,default,7,137.421875,7.4,15017.0,12139.0,2878.0,18.5,11.1,18.57052364864865,0.19164946394086702
FE242FV,PRATO EX TRACCIA,,,Default,default,7,136.921875,29.3,75452.0,19300.0,56152.0,73.25,43.95,4.673101535836177,0.7442082383502094
FF348AB,VERONICA MATERASSI ,,,Default,default,7,133.296875,6.2,54815.0,13867.0,40948.0,15.5,9.3,21.499495967741936,0.7470218006020249
GS043KF,VERDE,,,Default,default,6,132.7685546875,16.200000000000003,20053.0,12961.0,7092.0,40.5,24.300000000000004,8.19558979552469,0.35366279359696806
GD703RZ,FIRENZE FIERA,,,Default,default,7,131.8125,34.2,232379.0,48909.0,183470.0,85.5,51.3,3.8541666666666665,0.789529174322981
GT406AW,PRATO EX TRACCIA,,,Default,default,7,115.857421875,37.7,105565.0,14245.0,91320.0,94.25,56.55,3.073141163793103,0.8650594420499218
GA546ZH,LUCCA,,,Default,default,7,112.46875,10.600000000000001,79172.0,12456.0,66807.0,26.5,15.900000000000002,10.610259433962263,0.8438210478451978
FC969CN,PULIZIE E MENSE NORD,,,Default,default,7,110.546875,3.2,36151.0,12673.0,23478.0,8.0,4.800000000000001,34.5458984375,0.6494426156952782
HA228BK,MANTOVA,,,Default,default,7,110.239013671875,11.8,43709.0,61707.0,15459.0,29.5,17.7,9.342289294226694,0.35368002013315336
FM644ZD,UFFICIO MEZZI,,,Default,default,5,109.9921875,4.0,114081.0,18394.0,95687.0,10.0,6.000000000000001,27.498046875,0.8387636854515651
EC941FF,EDILI ,,,Default,default,5,106.83984375,23.7,19045.0,14855.0,4190.0,59.25,35.55,4.508010284810127,0.22000525072197427
FS981SS,AMBIENTE,,,Default,default,7,104.328125,6.8,139328.0,21063.0,118265.0,17.0,10.2,15.342371323529413,0.8488243569131833
GR382NG,EDILI ,,,Default,default,4,101.384765625,16.200000000000003,96234.0,13872.0,82362.0,40.5,24.300000000000004,6.25831886574074,0.8558513623043831
FH075YZ,TRASLOCHI ,,,Default,default,7,100.5546875,8.0,25794.0,13218.0,12576.0,20.0,12.0,12.5693359375,0.48755524540590833
EF281ER,UFFICIO MEZZI,,,Default,default,7,97.328125,6.8,9047.0,6940.0,2107.0,17.0,10.2,14.312959558823529,0.23289488228141925
FM106VT,VERDE,,,Default,default,8,95.671875,15.0,0.0,8801.0,0.0,37.5,22.5,6.378125,
GR329NG,CARTA E CARTONE FI,,,Default,default,7,95.0703125,23.4,16059.0,4738.0,11321.0,58.5,35.099999999999994,4.062833867521368,0.7049629491251012
GV324CN,RISTRUTTURAZIONI ,,,Default,default,6,92.3515625,2.7,11794.0,9531.0,2640.0,6.75,4.050000000000001,34.204282407407405,0.22384263184670172
FB769PL,MANTOVA,,,Default,default,7,91.078125,12.8,20381.0,15497.0,4884.0,32.0,19.200000000000003,7.115478515625,0.23963495412393895
FD810JC,MENSE E RISTORAZIONE,,,Default,default,7,91.078125,5.2,20132.0,10388.0,9744.0,13.0,7.800000000000001,17.515024038461537,0.48400556328233657
