date,vehicle_name,fleet_name,category,km_per_liter,idle_ratio,distance_km,anomaly_types,severity
2025-09-27,GX191WT,AMIANTO,Default,,0.37254901960784315,12.365234375,High Idle (informational),0
2025-09-28,GX191WT,AMIANTO,Default,,1.0,0.0,High Idle (informational),0
2025-09-28,GX191WT,AMIANTO,Default,,1.0,0.0,High Idle (informational),0
2025-09-22,GL867HV,AMIANTO,Default,,0.44637756426902103,12.25,High Idle (informational),0
2025-09-26,GP285NC,AREZZO,Default,,0.6220580186097427,3.796875,High Idle (informational),0
2025-09-22,GN747BX,AREZZO,Default,7.849469866071429,0.4362751723205839,87.9140625,High Idle (informational),0
2025-09-23,GN747BX,AREZZO,Default,5.073632188498403,0.3975975403389184,158.8046875,High Idle (informational),0
2025-09-24,GN747BX,AREZZO,Default,5.661486950549451,0.31909481952496727,103.0390625,High Idle (informational),0
2025-09-25,GN747BX,AREZZO,Default,5.341736963190184,0.3929184444117503,87.0703125,High Idle (informational),0
2025-09-26,GN747BX,AREZZO,Default,9.409398320895523,0.47887493600746833,126.0859375,High Idle (informational),0
2025-09-27,GN747BX,AREZZO,Default,6.207081545064377,0.4267063673843335,144.625,High Idle (informational),0
2025-09-22,GC664XB,AREZZO,Default,18.644701086956523,0.3327512823311143,42.8828125,High Idle (informational),0
2025-09-23,GC664XB,AREZZO,Default,,0.8505116959064327,3.953125,"High Idle (informational), Low Distance",1
2025-09-26,GC664XB,AREZZO,Default,19.203629032258064,0.6002571612258019,59.53125,High Idle (informational),0
2025-09-27,GC664XB,AREZZO,Default,19.123673349056606,0.7426241391808627,202.7109375,High Idle (informational),0
2025-09-28,GC664XB,AREZZO,Default,,0.3700378071833648,16.453125,High Idle (informational),0
2025-09-22,GZ745KL,BOLOGNA,Default,18.10675110479798,0.616737416616131,179.2568359375,High Idle (informational),0
2025-09-23,GZ745KL,BOLOGNA,Default,17.43755918560606,0.6934227174854047,172.6318359375,High Idle (informational),0
2025-09-24,GZ745KL,BOLOGNA,Default,17.272858796296298,0.6857872176467755,139.91015625,High Idle (informational),0
2025-09-25,GZ745KL,BOLOGNA,Default,14.80234375,0.6501995584239131,111.017578125,High Idle (informational),0
2025-09-26,GZ745KL,BOLOGNA,Default,18.71959496897163,0.479178722714752,263.9462890625,High Idle (informational),0
2025-09-27,GZ745KL,BOLOGNA,Default,19.401537024456523,0.668640019597436,178.494140625,High Idle (informational),0
2025-09-22,GP378NC,BOLOGNA,Default,6.070188492063492,0.35934571477253363,152.96875,High Idle (informational),0
2025-09-23,GP378NC,BOLOGNA,Default,5.044950902335456,0.4667244039080895,237.6171875,High Idle (informational),0
2025-09-24,GP378NC,BOLOGNA,Default,5.122990576496674,0.36942760942760944,231.046875,High Idle (informational),0
2025-09-25,GP378NC,BOLOGNA,Default,8.35693359375,0.5509922100197727,240.6796875,High Idle (informational),0
2025-09-26,GP378NC,BOLOGNA,Default,9.190880847953215,0.5674307332814065,157.1640625,High Idle (informational),0
2025-09-27,GP378NC,BOLOGNA,Default,8.107142857142858,0.667932261891921,170.25,High Idle (informational),0
2025-09-22,GP377NC,BOLOGNA,Default,7.842518472906404,0.42966306801185655,159.203125,High Idle (informational),0
2025-09-23,GP377NC,BOLOGNA,Default,6.540798611111111,0.5576366727310686,117.734375,High Idle (informational),0
2025-09-24,GP377NC,BOLOGNA,Default,5.560084541062802,0.5522535095640752,115.09375,High Idle (informational),0
2025-09-25,GP377NC,BOLOGNA,Default,5.248360339506173,0.6622448048194237,85.0234375,High Idle (informational),0
2025-09-26,GP377NC,BOLOGNA,Default,24.157774390243905,0.440413484329734,99.046875,High Idle (informational),0
2025-09-27,GP377NC,BOLOGNA,Default,5.6149305555555555,0.5350381302879691,126.3359375,High Idle (informational),0
2025-09-22,GP302NC,BOLOGNA,Default,,1.0,0.15625,High Idle (informational),0
2025-09-23,GP302NC,BOLOGNA,Default,,1.0,0.015625,High Idle (informational),0
2025-09-25,GP302NC,BOLOGNA,Default,,1.0,0.3125,High Idle (informational),0
2025-09-26,GP302NC,BOLOGNA,Default,,0.7492025518341308,2.59375,High Idle (informational),0
2025-09-22,GP301NC,BOLOGNA,Default,8.424744897959183,0.5525985287961246,165.125,High Idle (informational),0
2025-09-23,GP301NC,BOLOGNA,Default,8.386656746031747,0.36160381047168805,158.5078125,High Idle (informational),0
2025-09-24,GP301NC,BOLOGNA,Default,7.489276960784314,0.480869670836876,114.5859375,High Idle (informational),0
2025-09-25,GP301NC,BOLOGNA,Default,6.205357142857143,0.7403208987856975,78.1875,High Idle (informational),0
2025-09-26,GP301NC,BOLOGNA,Default,15.903716216216216,0.6148720768509235,117.6875,High Idle (informational),0
2025-09-27,GP301NC,BOLOGNA,Default,6.199983465608466,0.5348292029470864,117.1796875,High Idle (informational),0
2025-09-22,GL457YP,BOLOGNA,Default,5.388307733050847,0.6837203627638375,127.1640625,High Idle (informational),0
2025-09-23,GL457YP,BOLOGNA,Default,7.5896990740740735,0.8817317304488248,40.984375,High Idle (informational),0
2025-09-25,GL457YP,BOLOGNA,Default,24.355945121951223,0.6365458627325209,99.859375,High Idle (informational),0
2025-09-26,GL457YP,BOLOGNA,Default,7.273148148148148,0.3858341463414634,196.375,High Idle (informational),0
2025-09-27,GL457YP,BOLOGNA,Default,11.268446180555555,0.6137391372734065,81.1328125,High Idle (informational),0
2025-09-28,GL457YP,BOLOGNA,Default,6.714409722222222,0.5167728237791932,24.171875,High Idle (informational),0
2025-09-28,GL457YP,BOLOGNA,Default,6.714409722222222,0.5167728237791932,24.171875,High Idle (informational),0
2025-09-22,GL381YP,BOLOGNA,Default,9.002700617283951,0.342330651440436,145.84375,High Idle (informational),0
2025-09-23,GL381YP,BOLOGNA,Default,16.58420138888889,0.719761075161772,89.5546875,High Idle (informational),0
2025-09-24,GL381YP,BOLOGNA,Default,11.166914682539684,0.5558335528048459,140.703125,High Idle (informational),0
2025-09-25,GL381YP,BOLOGNA,Default,11.22265625,0.457762732728112,179.5625,High Idle (informational),0
2025-09-26,GL381YP,BOLOGNA,Default,7.385574494949495,0.6332531903088588,146.234375,High Idle (informational),0
2025-09-22,GG553VC,BOLOGNA,Default,4.515376984126984,0.5755249635221722,142.234375,High Idle (informational),0
2025-09-23,GG553VC,BOLOGNA,Default,5.519748263888888,0.4620811912781422,119.2265625,High Idle (informational),0
2025-09-24,GG553VC,BOLOGNA,Default,4.158494015957447,0.5177232664330467,156.359375,High Idle (informational),0
2025-09-25,GG553VC,BOLOGNA,Default,4.781788793103448,0.5118648524288437,124.8046875,High Idle (informational),0
2025-09-26,GG553VC,BOLOGNA,Default,6.900192481884058,0.548151444357919,190.4453125,High Idle (informational),0
2025-09-27,GG553VC,BOLOGNA,Default,5.521946225071225,0.48031818647366087,193.8203125,High Idle (informational),0
2025-09-28,GG553VC,BOLOGNA,Default,,0.3138138138138138,5.140625,High Idle (informational),0
2025-09-28,GG553VC,BOLOGNA,Default,,0.3138138138138138,5.140625,High Idle (informational),0
2025-09-22,GG434NW,BOLOGNA,Default,6.090494791666666,0.4412764149941595,87.703125,High Idle (informational),0
2025-09-23,GG434NW,BOLOGNA,Default,5.614149305555555,0.7405679066696016,80.84375,High Idle (informational),0
2025-09-24,GG434NW,BOLOGNA,Default,6.680555555555555,0.7008930443168001,180.375,High Idle (informational),0
2025-09-25,GG434NW,BOLOGNA,Default,6.041666666666666,0.37893337272861577,157.6875,High Idle (informational),0
2025-09-26,GG434NW,BOLOGNA,Default,6.6245993589743595,0.6117105298385586,155.015625,High Idle (informational),0
2025-09-27,GG434NW,BOLOGNA,Default,4.84375,0.8633534216160494,69.75,High Idle (informational),0
2025-09-28,GG434NW,BOLOGNA,Default,8.359375,0.7764373886065087,120.375,High Idle (informational),0
2025-09-28,GG434NW,BOLOGNA,Default,8.359375,0.7764373886065087,120.375,High Idle (informational),0
2025-09-22,GG432NW,BOLOGNA,Default,5.092724116161616,0.3914814269591246,100.8359375,High Idle (informational),0
2025-09-23,GG432NW,BOLOGNA,Default,6.133897569444445,0.4464806330695544,88.328125,High Idle (informational),0
2025-09-24,GG432NW,BOLOGNA,Default,11.148214285714285,0.33954524144397563,195.09375,High Idle (informational),0
2025-09-25,GG432NW,BOLOGNA,Default,4.189946338383838,0.47581592522600746,82.9609375,High Idle (informational),0
2025-09-27,GG432NW,BOLOGNA,Default,6.440972222222222,0.4030511060259344,23.1875,High Idle (informational),0
2025-09-22,GG431NW,BOLOGNA,Default,9.342610677083334,0.4261369764515549,224.22265625,High Idle (informational),0
2025-09-23,GG431NW,BOLOGNA,Default,12.8291015625,0.5179355229302255,76.974609375,High Idle (informational),0
2025-09-25,GG431NW,BOLOGNA,Default,3.038182388117284,0.5958544148849355,246.0927734375,High Idle (informational),0
2025-09-26,GG431NW,BOLOGNA,Default,11.094776098278984,0.34528122691617713,306.2158203125,High Idle (informational),0
2025-09-22,GG430NW,BOLOGNA,Default,7.4325587606837615,0.5738302277432712,173.921875,High Idle (informational),0
2025-09-23,GG430NW,BOLOGNA,Default,7.55150462962963,0.6125023034869674,203.890625,High Idle (informational),0
2025-09-25,GG430NW,BOLOGNA,Default,5.430689102564103,0.5971414518415646,127.078125,High Idle (informational),0
2025-09-26,GG430NW,BOLOGNA,Default,5.843460648148148,0.8615179760319573,63.109375,High Idle (informational),0
2025-09-27,GG430NW,BOLOGNA,Default,6.701388888888889,0.908911182619303,54.28125,High Idle (informational),0
2025-09-22,GG423VC,BOLOGNA,Default,10.441241197183098,0.4561335403726708,222.3984375,High Idle (informational),0
2025-09-23,GG423VC,BOLOGNA,Default,5.394719601677148,0.451482199750658,257.328125,High Idle (informational),0
2025-09-24,GG423VC,BOLOGNA,Default,9.13114381067961,0.4966371546908842,188.1015625,High Idle (informational),0
2025-09-25,GG423VC,BOLOGNA,Default,6.996527777777778,0.6525979890420857,25.1875,High Idle (informational),0
2025-09-26,GG423VC,BOLOGNA,Default,6.905270655270655,0.37677090392745344,242.375,High Idle (informational),0
2025-09-27,GG423VC,BOLOGNA,Default,4.046585648148148,0.7963394104373366,43.703125,High Idle (informational),0
2025-09-28,GG423VC,BOLOGNA,Default,5.053530092592593,0.4342857142857143,27.2890625,High Idle (informational),0
2025-09-28,GG423VC,BOLOGNA,Default,5.053530092592593,0.4342857142857143,27.2890625,High Idle (informational),0
2025-09-22,GG422VC,BOLOGNA,Default,5.636837121212121,0.7905637903652726,111.609375,High Idle (informational),0
2025-09-23,GG422VC,BOLOGNA,Default,9.30859375,0.6877136574459043,148.9375,High Idle (informational),0
2025-09-24,GG422VC,BOLOGNA,Default,4.959177927927929,0.6154638703177947,165.140625,High Idle (informational),0
2025-09-25,GG422VC,BOLOGNA,Default,6.07452876984127,0.6024260674412659,153.078125,High Idle (informational),0
2025-09-26,GG422VC,BOLOGNA,Default,6.490930944055944,0.6019743240614667,185.640625,High Idle (informational),0
2025-09-27,GG422VC,BOLOGNA,Default,7.922453703703703,0.5404778575179415,85.5625,High Idle (informational),0
