brand,model,fuel_type,vehicle_count,distance_traveled_km,liters_consumed,total_co2_kg,total_fuel_cost_eur,idle_ratio,utilization,km_per_liter_filled_capped,co2_per_km,fuel_cost_per_km,fuel_benchmark
Fiat,DOBLO,Diesel,3,1864.8671875,95.4,255.67200000000003,162.18,0.6085663872093866,0.4457748199588477,19.547874082809223,0.13709930750765598,0.0869659786429161,8.0
Fiat,DOBLò,Diesel,2,304.0840530395508,30.5,81.74000000000001,51.85,0.33418561916993794,0.18890046296296295,9.96996895211642,0.2688072563587163,0.17051206560067822,8.0
Fiat,DUCATO,Diesel,1,455.59375,35.3,94.604,60.01,0.22609014332463562,0.3765648148148148,12.906338526912183,0.20764990740105632,0.13171822484395362,8.0
Fiat,Doblo,Diesel,2,490.4296875,18.0,48.24000000000001,30.599999999999998,0.3572712867200466,0.37817625661375665,27.24609375,0.09836272401433693,0.06239426523297491,8.0
Fiat,Fiorino,Diesel,1,567.5625,23.2,62.176,39.44,0.5154294760958495,0.44385648148148144,24.463900862068968,0.1095491685937672,0.06949014425724039,8.0
Fiat,PANDA,Diesel,3,1010.34765625,33.5,89.78,56.95,0.6056077167854431,0.4112739748677249,30.159631529850746,0.08886050207037337,0.0563667363879234,8.0
Fiat,SCUDO,Diesel,1,97.328125,6.8,18.224,11.559999999999999,0.23289488228141925,0.11797453703703703,14.312959558823529,0.18724289613100017,0.11877347888906725,8.0
Ford,COURIER,Diesel,1,740.1149291992188,40.0,107.2,68.0,0.6637228934680682,0.31468287037037035,18.50287322998047,0.1448423694357673,0.09187762240328523,8.0
Ford,FOCUS,Diesel,2,1534.1759033203125,135.39999999999998,362.872,230.18,0.38433542849278185,0.2638683127572017,11.330693525260804,0.23652568080013567,0.15003494677620546,8.0
Ford,PUMA,Diesel,3,4135.551513671875,326.09999999999997,873.9480000000001,554.37,0.4032101062484066,0.43838575708061,12.681850701232369,0.21132562298179156,0.13404983547352448,8.0
Ford,TRANSIT,Diesel,4,2361.0559844970703,235.0,629.8000000000001,399.5,0.3974989657037476,0.4105926890432099,10.047046742540724,0.26674505142416355,0.16920395053025297,8.0
GX641PR,DUCATO,Diesel,1,360.001953125,27.299999999999997,73.164,46.41,0.27050559684164766,0.24315972222222224,13.186884729853482,0.20323223072791488,0.12891596725278182,8.0
ISUZU,M21,Diesel,3,3103.4765625,20.3,54.404,34.51,0.5147078059583189,0.3470462962962963,152.88061884236453,0.017530017998967893,0.011119787536658736,8.0
ISUZU,NMR6SE,Diesel,1,378.423828125,0.0,0.0,0.0,,0.41998649691358025,,0.0,0.0,8.0
ISUZU,P75,Diesel,3,1581.6806640625,17.7,47.436,30.09,0.41374029797536804,0.4090734649122807,89.3604894950565,0.029990883164849495,0.019024067679195573,8.0
IVECO,480,Diesel,1,1113.6875,556.7,1491.9560000000001,946.39,0.496275647392173,0.4152824074074074,2.0005164361415484,1.3396540771087042,0.8497805713002974,8.0
IVECO,DAILY,Diesel,63,38997.31530761719,4609.5,12353.460000000001,7836.15,0.4557014341349654,0.44600465146750523,8.460205078125,0.31677719100799356,0.20094075549014515,8.0
IVECO,DAILY 35-140,Diesel,1,196.892578125,16.200000000000003,43.416000000000004,27.54,0.6592178877802853,0.3657851080246914,12.15386284722222,0.22050602624765647,0.1398732256048567,8.0
